time,score,pnl,capital,portfolio_value,variance,capitalUsage,maxDrawdown,total_profit,total_loss,count_profit,count_loss
2015-06-26 00:00:00,-1.7940038754478767,-12.736409999999978,1000.0,987.26359,0.9631024054620306,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",24.545237,37.28164699999998,24,27
2015-06-29 00:00:00,-1.8569694348436203,-12.736409999999978,890.6753243,987.26359,0.955757127333403,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",24.545237,37.28164699999998,24,27
2015-06-30 00:00:00,-1.811554362674746,-13.568104999999989,889.8852140500001,986.431895,0.9539900544928399,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",24.545237,38.11334199999999,24,28
2015-07-01 00:00:00,-1.8088263083981722,-14.64931199999998,888.8580674000001,985.350688,0.9560134783444737,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",24.545237,39.19454899999998,24,29
2015-07-02 00:00:00,-1.8810464123368158,-14.50143199999998,888.9985534000001,985.498568,0.9491189137845428,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",24.693117,39.19454899999998,25,29
2015-07-03 00:00:00,-1.872152537767391,-14.50143199999998,888.9985534000001,985.498568,0.9421550775954605,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",24.693117,39.19454899999998,25,29
2015-07-06 00:00:00,-1.8940143389438384,-14.094838999999979,889.3848167500001,985.905161,0.9365443196171755,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",25.09971,39.19454899999998,26,29
2015-07-07 00:00:00,-1.8845696530464169,-13.80837799999999,889.6569547000001,986.191622,0.9303714384098626,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",25.38617099999999,39.19454899999998,27,29
2015-07-08 00:00:00,-2.0580393966367554,-10.925168999999983,892.3960032500001,989.074831,0.9861069049398753,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",28.269379999999998,39.19454899999998,28,29
2015-07-09 00:00:00,-2.0171784585697266,-8.614918999999986,894.5907407500001,991.385081,1.0187396899106944,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",30.579629999999995,39.19454899999998,29,29
2015-07-10 00:00:00,-1.6285043367571752,-11.58127399999998,891.7727035000001,988.418726,1.0765615156224633,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",30.579629999999995,42.160903999999974,29,30
2015-07-13 00:00:00,-1.7280891741969175,-13.780652999999987,889.6832934500002,986.219347,1.1044699087413368,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",30.579629999999995,44.36028299999998,29,31
2015-07-14 00:00:00,-1.8688844279581391,-13.734425999999985,1000.0000000000002,986.265574,1.0966984425279052,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",30.625856999999996,44.36028299999998,30,31
2015-07-15 00:00:00,-1.808937379386871,-13.734425999999985,888.6649314500003,986.265574,1.089019750829986,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.102133999999978}",30.625856999999996,44.36028299999998,30,31
2015-07-16 00:00:00,-1.7407960003650458,-15.296162999999979,1000.0000000000002,984.703837,1.0990268400913823,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.296162999999979}",30.625856999999996,45.922019999999975,30,32
2015-07-17 00:00:00,-1.7817792484593287,-15.296162999999979,1000.0000000000002,984.703837,1.0914833165634787,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.296162999999979}",30.625856999999996,45.922019999999975,30,32
2015-07-20 00:00:00,-1.7006974834069393,-15.296162999999979,884.0559542000002,984.703837,1.08404253784773,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 15.296162999999979}",30.625856999999996,45.922019999999975,30,32
2015-07-21 00:00:00,-1.7421688819899996,-16.515988999999976,885.2147889000001,983.484011,1.0872071500347873,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 16.51598899999999}",30.625856999999996,47.14184599999997,30,33
2015-07-22 00:00:00,-2.0655629390304795,-21.62629499999997,890.0695796000001,978.373705,1.2626775141207336,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 21.626295000000027}",30.625856999999996,52.25215199999997,30,34
2015-07-23 00:00:00,-2.4002742624994737,-21.681744999999978,1000.0000000000001,978.318255,1.2544536221624756,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 21.681744999999978}",30.625856999999996,52.307601999999974,30,35
2015-07-24 00:00:00,-2.461582221472014,-21.681744999999978,1000.0000000000001,978.318255,1.2463156753774858,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 21.681744999999978}",30.625856999999996,52.307601999999974,30,35
2015-07-27 00:00:00,-2.6381239490085777,-21.681744999999978,892.2204375500002,978.318255,1.2382823252708666,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 21.681744999999978}",30.625856999999996,52.307601999999974,30,35
2015-07-28 00:00:00,-2.5712058396614914,-22.24545799999997,891.6849102000002,977.754542,1.2325284695469119,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",30.625856999999996,52.87131499999997,30,36
2015-07-29 00:00:00,-2.655288950427774,-21.885045999999974,892.0273016000002,978.114954,1.2255742945203936,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",30.986268999999993,52.87131499999997,31,36
2015-07-30 00:00:00,-2.7009846959110515,-21.312131999999977,892.5715699000002,978.687868,1.2200186150363315,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",31.55918299999999,52.87131499999997,32,36
2015-07-31 00:00:00,-2.794358918056768,-20.32332399999997,893.5109375000002,979.676676,1.2188297462408069,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",32.547990999999996,52.87131499999997,33,36
2015-08-03 00:00:00,-3.200837545952023,-17.680386999999968,896.0217276500002,982.319613,1.2573645920887482,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",35.190928,52.87131499999997,34,36
2015-08-04 00:00:00,-4.089484397658957,-14.16879099999997,899.3577438500002,985.8312090000001,1.3304700306033461,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",38.702524,52.87131499999997,35,36
2015-08-05 00:00:00,-3.205227036367089,-14.871121999999971,898.6905294000003,985.128878,1.3252308877348709,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",38.702524,53.57364599999997,35,37
2015-08-06 00:00:00,-3.2338571310545756,-15.103177999999971,898.4700762000003,984.896822,1.3172129545047726,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",38.702524,53.80570199999997,35,38
2015-08-07 00:00:00,-3.151696597686769,-15.465222999999966,898.1261334500003,984.5347770000001,1.3098013739688745,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",38.702524,54.16774699999996,35,39
2015-08-10 00:00:00,-2.4164898102590455,-19.36401899999997,894.4222772500003,980.635981,1.399150531822118,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",38.702524,58.06654299999997,35,40
2015-08-11 00:00:00,-4.77114871523219,-13.580807999999976,899.9163277000004,986.4191920000001,1.603504656881012,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",44.48573499999999,58.06654299999997,36,40
2015-08-12 00:00:00,-3.009216993472945,-15.205281999999968,898.3730774000004,984.794718,1.6102822684780234,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",44.48573499999999,59.69101699999996,36,41
2015-08-13 00:00:00,-3.2776940666458394,-15.121762999999973,898.4524204500004,984.878237,1.6004303277938745,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",44.56925399999999,59.69101699999996,37,41
2015-08-14 00:00:00,-3.0358829659948845,-15.873646999999977,897.7381306500005,984.126353,1.5941988310434239,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",44.56925399999999,60.442900999999964,37,42
2015-08-17 00:00:00,-2.8583987818635697,-16.987599999999972,896.6798753000005,983.0124000000001,1.59226059048755,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",44.56925399999999,61.55685399999996,37,43
2015-08-18 00:00:00,-3.1424849071576397,-16.374951999999965,1000.0000000000005,983.625048,1.5849998085375387,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",45.181901999999994,61.55685399999996,38,43
2015-08-19 00:00:00,-3.501602863766964,-16.374951999999965,1000.0000000000005,983.625048,1.5755179169817735,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",45.181901999999994,61.55685399999996,38,43
2015-08-20 00:00:00,-4.760032312262466,-16.374951999999965,900.6571158500004,983.625048,1.56614876026049,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",45.181901999999994,61.55685399999996,38,43
2015-08-21 00:00:00,-7.023362139125248,-9.97903999999997,906.7332322500005,990.0209600000001,1.8047330412517604,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",51.57781399999999,61.55685399999996,39,43
2015-08-24 00:00:00,-1.221733898393754,-7.528393999999963,909.0613459500005,992.4716060000001,1.8301495169042545,116.3566631000001,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 22.245457999999985}",54.028459999999995,61.55685399999996,40,43
